Bundle,Item description,Loading,SE,t-value,p-value
Environmental Practices,ENVRTX01,0.539651328108594,0.046918223558439276,11.501955683305614,0.0
Environmental Practices,ENVRTX02,0.5055324461225489,0.0447070377596358,11.307670368153401,0.0
Environmental Practices,ENVRTX03,0.4594145367491376,0.036193628848479785,12.693243296283459,0.0
Environmental Practices,ENVRTX04,0.43356534973334016,0.03650461149681763,11.877002163716691,0.0
Environmental Practices,ENVRTX05,0.47075114134453827,0.03742013915914302,12.58015474882374,0.0
Environmental Practices,ENVRTX06,0.49404334404289346,0.04642518167303856,10.641710516553763,0.0
Environmental Practices,ENVRTX07,0.662334973922062,0.06131047805854651,10.802965413017755,0.0
Environmental Practices,ENVRTX08,0.5101750483929142,0.039060542160106855,13.061135872147826,0.0
Environmental Practices,ENVRTX09,0.700704908444226,0.054593213497149365,12.835018559235644,0.0
Environmental Practices,ENVRTX10,0.6556901257634862,0.05060831883215559,12.956172836685356,0.0
Environmental Practices,ENVRTX11,0.6629826686731586,0.053515211946480436,12.388676874459456,0.0
Environmental Practices,ENVRTX12,0.5443647971651593,0.06255760170411348,8.701816922904264,0.0
Environmental Practices,ENVRTX13,0.5699620678013118,0.05035014973840653,11.319967681576747,0.0
Environmental Practices,ENVRTX14,0.5623534829392903,0.04324682791215534,13.00334637448011,0.0
Environmental Practices,ENVRTX15,0.5638382163017204,0.0424562572466479,13.280450347427593,0.0
Environmental Practices,ENVRTX17,0.7453012390908645,0.05879903078809307,12.675400072101011,0.0
Environmental Practices,ENVRTX18,0.687652649648083,0.05002824999199355,13.745286908059628,0.0
Environmental Practices,ENVRTX20,0.7467789312444534,0.05212264973717964,14.327340129674338,0.0
Environmental Practices,ENVRTX21,0.4699062781100101,0.04226612487822625,11.117798933871184,0.0
Environmental Practices,ENVRTX22,0.4832256151020583,0.052637496372781055,9.180254540980318,0.0
Environmental Practices,ENVRTX23,0.4186127638478626,0.03767436848002782,11.111341231101997,0.0
Environmental Practices,ENVRTX24,0.5918152894622741,0.041321416498276455,14.322241094686557,0.0
Environmental Practices,ENVRTX29,0.8071163597902415,0.04696301586260239,17.186212277158393,0.0
Environmental Practices,ENVRTX30,0.6390946888618736,0.04958022391823302,12.890112999809345,0.0
Environmental Practices,ENVRTX31,0.7993222497329698,0.06078349713360509,13.15031690223451,0.0
Environmental Practices,ENVRTX32,0.5700467249935753,0.0510564371394954,11.165031422700038,0.0
Environmental Practices,ENVRTX33,0.5877902205644127,0.053553546726020806,10.975747760863332,0.0
Environmental Practices,ENVRTX34,0.722778401092077,0.055455279079472154,13.033536447562978,0.0
Environmental Practices,ENVRTX35,0.7685032114302272,0.06623750486811276,11.602236723143694,0.0
Environmental Practices,ENVRTX36,0.6885276765411966,0.06713426899991003,10.255979350011533,0.0
Environmental Practices,ENVRTX37,0.48671664111528284,0.060007042327432134,8.110992014228653,4.440892098500626e-16
Environmental Practices,ENVRTX38,0.7215164330352974,0.047438414039081174,15.209539518772504,0.0
Environmental Practices,ENVRTX39,0.7594579683237811,0.052165857566912215,14.558525513543756,0.0
Environmental Practices,ENVRTX40,0.7168782217145211,0.04625540865449355,15.498257232343766,0.0
Environmental Practices,ENVRTX41,0.710676496378021,0.04714985782167313,15.0727176965388,0.0
Environmental Practices,EPRACX01,0.6089631414916294,0.06751663740637438,9.019453054605709,0.0
Environmental Practices,EPRACX02,0.6048209513529701,0.052230317736514105,11.579882672820522,0.0
Environmental Practices,EPRACX03,0.633132352224257,0.04546561537006444,13.925520353588468,0.0
Environmental Practices,EPRACX04,0.7602806234506896,0.048147247687841066,15.790739034137731,0.0
Environmental Practices,EPRACX05,0.7284726649590025,0.04655455945446129,15.647719009597319,0.0
Environmental Practices,EPRACX06,0.6722983002430989,0.0453286060592666,14.831656181177888,0.0
JIT Practices,JITDELN01,0.4697591479005698,0.06166389243221398,7.618058629966762,2.5757174171303632e-14
JIT Practices,JITDELN02,0.2849542087539706,0.06865072069637275,4.150782480700549,3.3134055032135734e-05
JIT Practices,JITDELN03,0.4601915385049891,0.06811483607837242,6.756113131880641,1.4174217355389374e-11
JIT Practices,KANBANN01,0.3467181589446729,0.06571146908630406,5.276372051419221,1.3176643687273781e-07
JIT Practices,KANBANN02,0.4978083050308849,0.06926553450964457,7.186955367558303,6.625811010962934e-13
JIT Practices,KANBANN03,0.5359900808710779,0.06888348531856323,7.781111515950477,7.105427357601002e-15
JIT Practices,LAYOUTN01,0.5264135179042307,0.04551652842655806,11.565326620935311,0.0
JIT Practices,LAYOUTN02,0.6167491190429347,0.04468555152351686,13.801980685375574,0.0
JIT Practices,LAYOUTN03,0.6702250356605607,0.047604076815125795,14.079152049590894,0.0
JIT Practices,LAYOUTN04,0.6410711188540312,0.05197216054994839,12.334894529503408,0.0
